,Título,Nota_Avaliação,Nome_Comentario,Comentários,Data_Comentario,Marca,Produto,Link,Palavra_Chave
0,Muito bom!!,5,Gabrianne,"Minha cachorra adorou! A madeira é macia e as farpas que soltam são macias também, não machucam nem cravam em nada. Fiquei receosa achando que seria só uma madeira cara, mas me surpreendi, valeu cada centavo. Minha cachorra ama, passa o dia mastigando. Husky siberiano.", 26/11/2024 19:31,amicus,Brinquedo Mordedor WoodnPets Sustentavel Rústico para Cães,https://www.petlove.com.br/brinquedo-mordedor-woodnpets-sustentavel-rustico-para-caes/p?sku=3102749681,Mordedor natural
1,Perigoso,1,Estefani,"Eu ofereço madeira de café para minha cachorra, mas essa marca solta lascas pontudas. Suspendi o uso dessa marca", 05/10/2024 09:24,amicus,Brinquedo Mordedor WoodnPets Sustentavel Rústico para Cães,https://www.petlove.com.br/brinquedo-mordedor-woodnpets-sustentavel-rustico-para-caes/p?sku=3102749681,Mordedor natural
2,Otimo brinquedo,5,Giliane,"Meu filhote amou o brinquedo, passa horas brincando e quando tiro ele chora, é um ótimo entretenimento principalmente quando ele fica sozinho, não soltou farpa.", 26/09/2024 17:30,amicus,Brinquedo Mordedor WoodnPets Sustentavel Rústico para Cães,https://www.petlove.com.br/brinquedo-mordedor-woodnpets-sustentavel-rustico-para-caes/p?sku=3102749681,Mordedor natural
3,Bom,3,Victória,Meu cachorro não ligou muito pra ele., 23/09/2024 16:47,amicus,Brinquedo Mordedor WoodnPets Sustentavel Rústico para Cães,https://www.petlove.com.br/brinquedo-mordedor-woodnpets-sustentavel-rustico-para-caes/p?sku=3102749681,Mordedor natural
4,Bom,5,Márcia,Minha cachorra gostou, 14/09/2024 23:02,amicus,Brinquedo Mordedor WoodnPets Sustentavel Rústico para Cães,https://www.petlove.com.br/brinquedo-mordedor-woodnpets-sustentavel-rustico-para-caes/p?sku=3102749681,Mordedor natural
5,Bom,5,Márcia,Minha cachorra gostou, 14/09/2024 23:02,amicus,Brinquedo Mordedor WoodnPets Sustentavel Rústico para Cães,https://www.petlove.com.br/brinquedo-mordedor-woodnpets-sustentavel-rustico-para-caes/p?sku=3102749681,Mordedor natural
6,Meu cachorro é viciado,5,Mahara,"Todos os meses compro a mandeirinha pro meu cachorro. A P realmente é muito pequena, não vale a pena, costumo pegar a M ou G.", 16/07/2024 13:17,amicus,Brinquedo Mordedor WoodnPets Sustentavel Rústico para Cães,https://www.petlove.com.br/brinquedo-mordedor-woodnpets-sustentavel-rustico-para-caes/p?sku=3102749681,Mordedor natural
7,Parece falso,1,Laíse,"Todos os produtos que vi da WoodnPets vem com a logomarca na madeira, solta lascas sim e não parece nada atrativo, nada de cheiro de côco ao algo do tipo, parece literalmente um cabo de vassoura de madeira", 11/07/2024 20:29,amicus,Brinquedo Mordedor WoodnPets Sustentavel Rústico para Cães,https://www.petlove.com.br/brinquedo-mordedor-woodnpets-sustentavel-rustico-para-caes/p?sku=3102749681,Mordedor natural
8,Solta farpas,2,Gisele,Deve ter supervisao assim como todo brinquedo que solta pedaços, 12/06/2024 18:36,amicus,Brinquedo Mordedor WoodnPets Sustentavel Rústico para Cães,https://www.petlove.com.br/brinquedo-mordedor-woodnpets-sustentavel-rustico-para-caes/p?sku=3102749681,Mordedor natural
9,Realmente dura,5,mariana,"Ele é destruidor,mas tá demorando pra destruir.", 02/06/2024 12:04,amicus,Brinquedo Mordedor WoodnPets Sustentavel Rústico para Cães,https://www.petlove.com.br/brinquedo-mordedor-woodnpets-sustentavel-rustico-para-caes/p?sku=3102749681,Mordedor natural
